Name
Lambert Airport Terminal 1|Red East|Red West
Lambert Airport Terminal 2|Red East|Red West
North Hanley Station|Red East|Red West
North UMSL Station|Red East|Red West
South UMSL Station|Red East|Red West
Rock Road Station|Red East|Red West
Wellston Station|Red East|Red West
Delmar Loop Station|Red East|Red West
Forest Park Station|Red East|Red West|Blue East|Blue West
Central West End Station|Red East|Red West|Blue East|Blue West
Grand Station|Red East|Red West|Blue East|Blue West
Union Station|Red East|Red West|Blue East|Blue West
Civic Center Station|Red East|Red West|Blue East|Blue West
Stadium Station|Red East|Red West|Blue East|Blue West
8th & Pine Station|Red East|Red West|Blue East|Blue West
Convention Center Station|Red East|Red West|Blue East|Blue West
Laclede's Landing/Arch Station|Red East|Red West|Blue East|Blue West
East Riverfront Station|Red East|Red West|Blue East|Blue West
5th & Missouri|Red East|Red West|Blue East|Blue West
Emerson Park Station|Red East|Red West|Blue East|Blue West
JJK Center Station|Red East|Red West|Blue East|Blue West
Washington Park Station|Red East|Red West|Blue East|Blue West
Fairview Heights Station|Red East|Red West|Blue East|Blue West
Memorial Hospital Station|Red East|Red West
Swansea Station|Red East|Red West
Belleville Station|Red East|Red West
College Station|Red East|Red West
Shiloh-Scott|Red East|Red West
Shrewsbury Station|Blue East|Blue West
Sunnen Station|Blue East|Blue West
Maplewood Station|Blue East|Blue West
Brentwood Station|Blue East|Blue West
Richmond Heights Station|Blue East|Blue West
Clayton Station|Blue East|Blue West
Forsyth Station|Blue East|Blue West
Big Bend U City Station|Blue East|Blue West
Skinker Station|Blue East|Blue West
